fold,store_id,sku_id,model,mae,mape
20250203_20250210,S01,SKU001,seasonal_naive,8.5,7.331344860696842
20250203_20250210,S01,SKU001,sarimax,8.5,7.331344860696842
20250203_20250210,S01,SKU001,lgbm,17.864832502377503,15.398126097626118
20250203_20250210,S01,SKU002,naive,10.0,4.060324032115171
20250203_20250210,S01,SKU002,seasonal_naive,7.0,2.8060805846951054
20250203_20250210,S01,SKU002,sarimax,7.0,2.8060805846951054
20250203_20250210,S01,SKU002,lgbm,8.783858108223463,3.5277489804890516
20250203_20250210,S01,SKU003,naive,7.5,2.2644952480709626
20250203_20250210,S01,SKU003,seasonal_naive,23.75,7.202194351930098
20250203_20250210,S01,SKU003,sarimax,23.75,7.202194351930098
20250203_20250210,S01,SKU003,lgbm,13.330775046066094,4.0374659537356745
20250203_20250210,S01,SKU004,naive,7.75,3.9451189315559407
20250203_20250210,S01,SKU004,seasonal_naive,27.75,14.572110587150377
20250203_20250210,S01,SKU004,sarimax,27.75,14.572110587150377
20250203_20250210,S01,SKU004,lgbm,17.36764719575409,9.095612622079422
20250203_20250210,S01,SKU005,naive,3.0,1.1408143865082456
20250203_20250210,S01,SKU005,seasonal_naive,4.5,1.6962514455775706
20250203_20250210,S01,SKU005,sarimax,4.5,1.6962514455775706
20250203_20250210,S01,SKU005,lgbm,8.147629327576269,3.0912704512805833
20250203_20250210,S02,SKU001,naive,12.75,6.591722177539097
20250203_20250210,S02,SKU001,seasonal_naive,9.5,4.885487414346583
20250203_20250210,S02,SKU001,sarimax,9.5,4.885487414346583
20250203_20250210,S02,SKU001,lgbm,20.439840402605576,10.735336495070733
20250203_20250210,S02,SKU002,naive,3.75,1.9141428068845001
20250203_20250210,S02,SKU002,seasonal_naive,9.75,4.867891077958478
20250203_20250210,S02,SKU002,sarimax,9.75,4.867891077958478
20250203_20250210,S02,SKU002,lgbm,2.7026827858076103,1.3417975825138442
20250203_20250210,S02,SKU003,naive,7.25,3.933444722918407
20250203_20250210,S02,SKU003,seasonal_naive,17.5,9.41637020140864
20250203_20250210,S02,SKU003,sarimax,17.5,9.41637020140864
